tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_uT	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
su100501c	100	560	40	-	1.01	61.9	15.00	8.00	0.98	0.91	0.96	0.16	0.02	2.05	0.65	3.35	-1.00
su100501c	100	580	40	-	1.01	61.6	16.00	8.00	0.98	0.91	0.97	0.16	0.02	1.78	0.65	3.19	-1.00
su100501c	200	530	40	-	1.01	62.5	12.00	7.00	0.90	0.83	0.87	0.18	0.03	2.88	0.17	3.49	-1.00
su100501c	200	545	40	-	1.01	61.5	13.00	7.00	0.93	0.85	0.90	0.17	0.03	2.25	0.16	3.26	-1.00
su100501c	200	560	40	-	1.01	60.8	14.00	8.00	0.94	0.87	0.91	0.17	0.02	1.82	0.65	3.10	-1.00
su100501c	200	580	40	-	1.01	60.5	15.00	8.00	0.95	0.87	0.92	0.17	0.02	1.58	0.65	2.94	-1.00
su100501c	250	530	40	-	1.01	61.0	11.00	7.00	0.86	0.79	0.82	0.19	0.03	2.70	0.17	3.49	-1.00
su100501c	250	545	40	-	1.01	60.2	12.00	7.00	0.89	0.81	0.85	0.18	0.03	2.09	0.16	3.23	-1.00
su100501c	250	560	40	-	1.01	59.6	13.00	8.00	0.91	0.83	0.86	0.18	0.02	1.67	0.65	3.06	-1.00
su100501c	250	580	40	-	1.01	59.4	14.00	8.00	0.92	0.83	0.87	0.18	0.02	1.45	0.65	2.89	-1.00
su100501c	300	545	40	-	1.01	58.7	11.00	7.00	0.85	0.76	0.79	0.19	0.03	1.83	0.16	2.72	-1.00
su100501c	300	560	40	-	1.01	58.2	12.00	8.00	0.87	0.78	0.80	0.19	0.02	1.46	0.65	2.58	-1.00
su100501c	300	580	40	-	1.01	58.1	13.00	8.00	0.87	0.78	0.81	0.19	0.02	1.27	0.65	2.44	-1.00
su100501d	0	545	40	-	1.01	57.9	16.00	8.00	0.98	0.91	0.94	0.13	0.03	3.88	7.96	4.95	-1.00
su100501d	0	560	40	-	1.01	55.7	17.00	8.00	1.03	0.95	0.97	0.13	0.03	3.23	7.40	4.73	-1.00
su100501d	100	545	40	-	1.01	57.2	15.00	8.00	0.96	0.88	0.90	0.14	0.03	3.66	7.96	4.93	-1.00
su100501d	100	560	40	-	1.01	55.0	16.00	8.00	1.00	0.92	0.93	0.14	0.04	3.02	7.40	4.67	-1.00
su100501d	150	530	40	-	1.01	59.0	13.00	7.00	0.83	0.77	0.80	0.16	0.04	3.69	1.83	4.50	-1.00
su100501d	150	545	40	-	1.01	56.3	14.00	8.00	0.89	0.81	0.84	0.15	0.04	2.93	7.96	4.23	-1.00
su100501d	150	560	40	-	1.01	54.0	15.00	8.00	0.94	0.84	0.88	0.14	0.04	2.40	7.40	3.97	-1.00
