tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Africa	cb01a	cb01	cb01a		cb01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	182.0		g	-4.3	1.592e-08	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	cb01a	cb01	cb01a		cb01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	266.9		g	-0.4	1.548e-08	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	cb01a	cb01	cb01a		cb01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	58.7		g	-87.4	1.652e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	cb01b	cb01	cb01b		cb01b:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.1	213.5		g	-82.4	1.233e-09	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	cb01b	cb01	cb01b		cb01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	359.8		g	0.4	2.795e-08	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	cb01b	cb01	cb01b		cb01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	90.2		g	-3.8	2.782e-08	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	cb01b	cb01	cb01b		cb01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	45.4		g	88.1	2.627e-08	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	cb01b	cb01	cb01b		cb01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	178.8		g	-5.3	2.781e-08	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	cb01b	cb01	cb01b		cb01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	268.5		g	-2.6	2.761e-08	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	cb01b	cb01	cb01b		cb01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	230.4		g	-87.2	2.884e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	cb01c	cb01	cb01c		cb01c:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.9	230.1		g	-70.7	2.477e-10	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	cb01c	cb01	cb01c		cb01c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	356.7		g	0.2	5.412e-09	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	cb01c	cb01	cb01c		cb01c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.7	88.2		g	-3.2	5.832e-09	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	cb01c	cb01	cb01c		cb01c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	31.0		g	85.6	5.374e-09	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	cb01c	cb01	cb01c		cb01c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	176.5		g	-5.7	5.460e-09	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	cb01c	cb01	cb01c		cb01c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	268.9		g	-2.5	5.861e-09	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	cb01c	cb01	cb01c		cb01c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	222.1		g	-88.1	5.885e-09	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	cb02a	cb02	cb02a		cb02a:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	1.0	178.8		g	-78.5	1.874e-10	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	cb02a	cb02	cb02a		cb02a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	358.8		g	-3.6	6.492e-09	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	cb02a	cb02	cb02a		cb02a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.9	90.4		g	-2.4	6.219e-09	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	cb02a	cb02	cb02a		cb02a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	206.0		g	89.1	5.752e-09	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	cb02a	cb02	cb02a		cb02a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	175.9		g	0.5	6.465e-09	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
