tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	criteria	description	dip	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	software_packages	specimens	timestamp
188.1	0	0	0	This study			-62										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-POM:SO-SUN	g		jm009f	jm009			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	46.1	85.4	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm009f	jm009	pmagpy-2.59	jm009f2	
180.6	0	0	0	This study			-54.5										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-POM:SO-SUN	g		jm009g	jm009			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	111.9	83.9	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm009g	jm009	pmagpy-2.59	jm009g2	
203.4	0	0	0	This study			-72										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-POM:SO-SUN	g		jm009h	jm009			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	80.4	76.6	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN		g	jm009h	jm009	pmagpy-2.59	jm009h1	
202.9	0	0	0	This study			-58										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-POM:SO-SUN	g		jm009i	jm009			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	87.9	81.5	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm009i	jm009	pmagpy-2.59	jm009i1	
205.6	0	0	0	This study			-49.5										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-POM:SO-SUN	g		jm009j	jm009			2009-08-15T00:00:00Z
38.9	0	0	0	This study			-48										extrusive:igneous	lava flow	70.88952	basalt	351.07874	FS-LOC-GPS:SO-POM:SO-SUN	g		jm011a	jm011			2009-08-08T00:00:00Z
				This study	DE-SPEC	sample direction		A	107.8	80.6	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN		g	jm011a	jm011	pmagpy-2.59	jm011a1	
