tab	measurements
experiment	specimen	measurement	treat_dc_field	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	meas_field_dc	magn_moment	measurement_standard	measurement_temp	sample	scientists	site
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	101	-0.5198	-48.09	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	102	-0.5369	-48.59	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	103	-0.5541	-49.08	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	104	-0.5712	-49.56	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	105	-0.5883	-50.02	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	106	-0.6056	-50.47	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	107	-0.6228	-50.93	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	108	-0.6399	-51.37	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	109	-0.657	-51.81	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	110	-0.6743	-52.23	u	273	IS06a	Erez ben Yosef	IS06
