tab 	sites																																														
	age	age_sigma	age_unit	analysts	citations	criterion	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
	1.5	0.025	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00002893	0.000004604	15.92	3	-77.699	Basalt	McMurdo	162.253	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc155c : mc155h : mc155m	mc155	pmagpy-2.60	mc155c1 : mc155h1 : mc155m1												
	1.5	0.025	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc155, Site VGPA comp: (geog. coord)."	3.7	A	226.2	77.7	221.3	8	8				7.9684	0	Igneous : Extrusive	Lava Flow					-77.699	Basalt	McMurdo	162.253	DE-FM : DE-DI	i		mc155	pmagpy-2.60	mc155a1 : mc155b1 : mc155c1 : mc155e2 : mc155g1 : mc155h1 : mc155i1 : mc155m1								3.7	7.1	-72.7	57.7	8
	1.89	0.065	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.2	A	161.3	71.1	340.9	5		5	0	r	4.9883	0	Igneous : Extrusive	Lava Flow					-77.705	Basalt	McMurdo	162.592	DE-FM : DA-DIR-GEO			mc156	pmagpy-2.60	mc156a1 : mc156c1 : mc156f1 : mc156g1 : mc156h1												
	1.89	0.065	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc156, Site VGPA comp: (geog. coord)."	4.2	A	161.3	71.1	340.9	5	5				4.9883	0	Igneous : Extrusive	Lava Flow					-77.705	Basalt	McMurdo	162.592	DE-FM : DE-DI	i		mc156	pmagpy-2.60	mc156a1 : mc156c1 : mc156f1 : mc156g1 : mc156h1								2.8	8.1	-66.9	315	5
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.9	A	262.7	70.7	76.6	7		7	0	r	6.9217	0	Igneous : Extrusive	Lava Flow					-77.703	Basalt	McMurdo	162.264	DE-FM : DA-DIR-GEO			mc157	pmagpy-2.60	mc157a2 : mc157b2 : mc157c2 : mc157e2 : mc157f1 : mc157j1 : mc157k1												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc157, Site VGPA comp: (geog. coord)."	6.9	A	262.7	70.7	76.6	7	7				6.9217	0	Igneous : Extrusive	Lava Flow					-77.703	Basalt	McMurdo	162.264	DE-FM : DE-DI	i		mc157	pmagpy-2.60	mc157a2 : mc157b2 : mc157c2 : mc157e2 : mc157f1 : mc157j1 : mc157k1								4.4	13.3	-54.7	82.5	7
	3.74	0.125	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.9	A	46.9	43.2	555.8	6		5	1	t	5.9919	0	Igneous : Extrusive	Lava Flow					-77.688	Basalt	McMurdo	162.462	DE-FM : DA-DIR-GEO			mc158	pmagpy-2.60	mc158a1 : mc158b2 : mc158c1 : mc158d1 : mc158f1 : mc158h1												
	3.74	0.125	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.000004519	0	0	1	-77.688	Basalt	McMurdo	162.462	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc158b	mc158	pmagpy-2.60	mc158b1												
	3.74	0.125	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc158, Site VGPA comp: (geog. coord)."	2.9	A	46.9	43.2	555.8	6	6				5.9919	0	Igneous : Extrusive	Lava Flow					-77.688	Basalt	McMurdo	162.462	DE-FM : DE-DI	i		mc158	pmagpy-2.60	mc158a1 : mc158b2 : mc158c1 : mc158d1 : mc158f1 : mc158h1								0.8	5.6	-16.5	206	6
					This study															Igneous : Extrusive	Lava Flow					-77.51	Basalt	McMurdo	169.38				mc16														
					This study															Igneous : Extrusive	Lava Flow					-77.51	Basalt	McMurdo	169.38				mc16														
	3.47	0.025	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	227.9	76.2	227.7	10		8	2	r	9.9649	0	Igneous : Extrusive	Lava Flow					-77.687	Basalt	McMurdo	162.354	DE-FM : DA-DIR-GEO			mc160	pmagpy-2.60	mc160a1 : mc160a2 : mc160b1 : mc160c1 : mc160e1 : mc160e2 : mc160f2 : mc160h2 : mc160j1 : mc160j2												
	3.47	0.025	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.0000218	0.000001296	5.944	2	-77.687	Basalt	McMurdo	162.354	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc160a : mc160f	mc160	pmagpy-2.60	mc160a1 : mc160f2												
	3.47	0.025	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc160, Site VGPA comp: (geog. coord)."	3.2	A	227.9	76.2	227.7	10	10				9.9649	0	Igneous : Extrusive	Lava Flow					-77.687	Basalt	McMurdo	162.354	DE-FM : DE-DI	i		mc160	pmagpy-2.60	mc160a1 : mc160a2 : mc160b1 : mc160c1 : mc160e1 : mc160e2 : mc160f2 : mc160h2 : mc160j1 : mc160j2								2.9	6.2	-70	55.8	10
	3.47	0.025	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc160, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.0000218	0.000001296	5.944	2	-77.687	Basalt	McMurdo	162.354	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc160a : mc160f	mc160	pmagpy-2.60	mc160a1 : mc160f2	2.87E+22	2	1.71E+21	3.05E+22	2	1.81E+21						
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.1	A	171.3	55.1	281	6		5	1	r	5.984	0	Igneous : Extrusive	Lava Flow					-77.702	Basalt	McMurdo	162.694	DE-FM : DA-DIR-GEO			mc161	pmagpy-2.60	mc161a1 : mc161b1 : mc161e1 : mc161f1 : mc161g1 : mc161k1												
	4	4	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00000495	0.000001204	24.31	2	-77.702	Basalt	McMurdo	162.694	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc161b : mc161g	mc161	pmagpy-2.60	mc161b1 : mc161g1												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc161, Site VGPA comp: (geog. coord)."	4.1	A	171.3	55.1	281	6	6				5.984	0	Igneous : Extrusive	Lava Flow					-77.702	Basalt	McMurdo	162.694	DE-FM : DE-DI	i		mc161	pmagpy-2.60	mc161a1 : mc161b1 : mc161e1 : mc161f1 : mc161g1 : mc161k1								1.5	7.9	-47.8	332.2	6
	2.56	0.065	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	174.6	58.1	270.7	7		5	2	r	6.9815	0	Igneous : Extrusive	Lava Flow					-77.701	Basalt	McMurdo	162.69	DE-FM : DA-DIR-GEO			mc162	pmagpy-2.60	mc162b1 : mc162b2 : mc162c1 : mc162f1 : mc162g1 : mc162i1 : mc162j1												
	2.56	0.065	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.000008423	0	0	1	-77.701	Basalt	McMurdo	162.69	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc162c	mc162	pmagpy-2.60	mc162c1												
	2.56	0.065	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc162, Site VGPA comp: (geog. coord)."	3.8	A	174.6	58.1	270.7	7	7				6.9815	0	Igneous : Extrusive	Lava Flow					-77.701	Basalt	McMurdo	162.69	DE-FM : DE-DI	i		mc162	pmagpy-2.60	mc162b1 : mc162b2 : mc162c1 : mc162f1 : mc162g1 : mc162i1 : mc162j1								1.5	7.3	-51	336	7
	1.5	0.75	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.2	A	175.6	51.5	261.2	6		5	1	r	5.9828	0	Igneous : Extrusive	Lava Flow					-77.7	Basalt	McMurdo	162.68	DE-FM : DA-DIR-GEO			mc163	pmagpy-2.60	mc163a1 : mc163b1 : mc163c1 : mc163d1 : mc163e1 : mc163f1												
	1.5	0.75	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc163, Site VGPA comp: (geog. coord)."	4.2	A	175.6	51.5	261.2	6	6				5.9828	0	Igneous : Extrusive	Lava Flow					-77.7	Basalt	McMurdo	162.68	DE-FM : DE-DI	i		mc163	pmagpy-2.60	mc163a1 : mc163b1 : mc163c1 : mc163d1 : mc163e1 : mc163f1								1.4	8.1	-44.4	337.5	6
	1.364	0.05	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.1	A	199.9	86.1	1912.3	10		10	0	r	9.9953	0	Igneous : Extrusive	Lava Flow					-77.514	Basalt	McMurdo	169.33	DE-FM : DA-DIR-GEO			mc164	pmagpy-2.60	mc164a1 : mc164a2 : mc164b1 : mc164c1 : mc164f1 : mc164g2 : mc164h1 : mc164i1 : mc164j1 : mc164l2												
	1.364	0.05	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00008129	6.48E-08	0.07975	3	-77.514	Basalt	McMurdo	169.33	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc164c : mc164f : mc164j	mc164	pmagpy-2.60	mc164c1 : mc164f1 : mc164j1												
	1.364	0.05	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc164, Site VGPA comp: (geog. coord)."	1.1	A	199.9	86.1	1912.3	10	10				9.9953	0	Igneous : Extrusive	Lava Flow					-77.514	Basalt	McMurdo	169.33	DE-FM : DE-DI	i		mc164	pmagpy-2.60	mc164a1 : mc164a2 : mc164b1 : mc164c1 : mc164f1 : mc164g2 : mc164h1 : mc164i1 : mc164j1 : mc164l2								3.5	2.1	-84.2	142.3	10
	1.364	0.05	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc164, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00008129	6.48E-08	0.07975	3	-77.514	Basalt	McMurdo	169.33	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc164c : mc164f : mc164j	mc164	pmagpy-2.60	mc164c1 : mc164f1 : mc164j1	1.07E+23	3	8.53E+19	1.06E+23	3	8.44E+19						
	1.451	0.03	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.2	A	141.9	81.8	174.1	8		8	0	r	7.9598	0	Igneous : Extrusive	Lava Flow					-77.513	Basalt	McMurdo	169.332	DE-FM : DA-DIR-GEO			mc165	pmagpy-2.60	mc165a1 : mc165b1 : mc165b2 : mc165c1 : mc165c2 : mc165g1 : mc165h2 : mc165i2												
	1.451	0.03	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00002628	0.000001685	6.412	4	-77.513	Basalt	McMurdo	169.332	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc165b : mc165c : mc165h : mc165i	mc165	pmagpy-2.60	mc165b1 : mc165c1 : mc165h2 : mc165i2												
	1.451	0.03	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc165, Site VGPA comp: (geog. coord)."	4.2	A	141.9	81.8	174.1	8	8				7.9598	0	Igneous : Extrusive	Lava Flow					-77.513	Basalt	McMurdo	169.332	DE-FM : DE-DI	i		mc165	pmagpy-2.60	mc165a1 : mc165b1 : mc165b2 : mc165c1 : mc165c2 : mc165g1 : mc165h2 : mc165i2								6.4	8.1	-80.2	261	8
	1.451	0.03	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc165, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00002628	0.000001685	6.412	4	-77.513	Basalt	McMurdo	169.332	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc165b : mc165c : mc165h : mc165i	mc165	pmagpy-2.60	mc165b1 : mc165c1 : mc165h2 : mc165i2	3.46E+22	4	2.22E+21	3.50E+22	4	2.25E+21						
	1.334	0.06	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.2	A	224.9	73.8	634.1	8		8	0	r	7.989	0	Igneous : Extrusive	Lava Flow					-77.849	Basalt	McMurdo	166.67	DE-FM : DA-DIR-GEO			mc166	pmagpy-2.60	mc166a1 : mc166b1 : mc166b2 : mc166c1 : mc166c2 : mc166h2 : mc166i1 : mc166i2												
	1.334	0.06	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00002911	0.000006716	23.07	4	-77.849	Basalt	McMurdo	166.67	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc166b : mc166c : mc166h : mc166i	mc166	pmagpy-2.60	mc166b1 : mc166c1 : mc166h2 : mc166i2												
	1.334	0.06	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc166, Site VGPA comp: (geog. coord)."	2.2	A	224.9	73.8	634.1	8	8				7.989	0	Igneous : Extrusive	Lava Flow					-77.849	Basalt	McMurdo	166.67	DE-FM : DE-DI	i		mc166	pmagpy-2.60	mc166a1 : mc166b1 : mc166b2 : mc166c1 : mc166c2 : mc166h2 : mc166i1 : mc166i2								1.7	4.3	-67	51.6	8
	1.5	0.75	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.7	A	179.7	74.5	82.1	9		9	0	r	8.9026	0	Igneous : Extrusive	Lava Flow					-77.487	Basalt	McMurdo	169.294	DE-FM : DA-DIR-GEO			mc167	pmagpy-2.60	mc167a1 : mc167b1 : mc167d2 : mc167e1 : mc167e2 : mc167f2 : mc167h1 : mc167j1 : mc167k1												
	1.5	0.75	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00004346	0.000001128	2.596	3	-77.487	Basalt	McMurdo	169.294	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST : IE-TT		mc167b : mc167d : mc167k	mc167	pmagpy-2.60	mc167b1 : mc167d2 : mc167k1												
	1.5	0.75	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc167, Site VGPA comp: (geog. coord)."	5.7	A	179.7	74.5	82.1	9	9				8.9026	0	Igneous : Extrusive	Lava Flow					-77.487	Basalt	McMurdo	169.294	DE-FM : DE-DI	i		mc167	pmagpy-2.60	mc167a1 : mc167b1 : mc167d2 : mc167e1 : mc167e2 : mc167f2 : mc167h1 : mc167j1 : mc167k1								4.6	11	-73.5	348.8	9
	1.5	0.75	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc167, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00004346	0.000001128	2.596	3	-77.487	Basalt	McMurdo	169.294	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST : IE-TT	i	mc167b : mc167d : mc167k	mc167	pmagpy-2.60	mc167b1 : mc167d2 : mc167k1	5.72E+22	3	1.49E+21	6.19E+22	3	1.61E+21						
	1.38	0.025	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3	A	187.3	68.2	398.3	7		7	0	r	6.9849	0	Igneous : Extrusive	Lava Flow					-77.488	Basalt	McMurdo	169.292	DE-FM : DA-DIR-GEO			mc168	pmagpy-2.60	mc168c1 : mc168f1 : mc168h1 : mc168h2 : mc168i1 : mc168j1 : mc168k1												
	1.38	0.025	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc168, Site VGPA comp: (geog. coord)."	3	A	187.3	68.2	398.3	7	7				6.9849	0	Igneous : Extrusive	Lava Flow					-77.488	Basalt	McMurdo	169.292	DE-FM : DE-DI	i		mc168	pmagpy-2.60	mc168c1 : mc168f1 : mc168h1 : mc168h2 : mc168i1 : mc168j1 : mc168k1								1.8	5.8	-63.7	359.6	7
					This study															Igneous : Extrusive	Lava Flow					-77.491	Basalt	McMurdo	169.28				mc169														
	1.03	0.05	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	0.9	A	2.7	-87.2	7835.9	5		5	0	n	4.9995	0	Igneous : Extrusive	Lava Flow					-77.854	Basalt	McMurdo	166.714	DE-FM : DA-DIR-GEO			mc170	pmagpy-2.60	mc170a1 : mc170c2 : mc170d1 : mc170e2 : mc170f1												
	1.03	0.05	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc170, Site VGPA comp: (geog. coord)."	0.9	A	2.7	-87.2	7835.9	5	5				4.9995	0	Igneous : Extrusive	Lava Flow					-77.854	Basalt	McMurdo	166.714	DE-FM : DE-DI	i		mc170	pmagpy-2.60	mc170a1 : mc170c2 : mc170d1 : mc170e2 : mc170f1								3.9	1.7	83.4	344.4	5
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.8	A	146.8	-78.4	474.8	7		6	1	n	6.9884	0	Igneous : Extrusive	Lava Flow					-77.86	Basalt	McMurdo	165.23	DE-FM : DA-DIR-GEO			mc19	pmagpy-2.60	mc19a : mc19b : mc19c : mc19d : mc19e : mc19f : mc19g												
	4	4	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00002518	0	0	1	-77.86	Basalt	McMurdo	165.23	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT		mc19b	mc19	pmagpy-2.60	mc19b												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc19, Site VGPA comp: (geog. coord)."	2.8	A	146.8	-78.4	474.8	7	7				6.9884	0	Igneous : Extrusive	Lava Flow					-77.86	Basalt	McMurdo	165.23	DE-FM : DE-DI	i		mc19	pmagpy-2.60	mc19a : mc19b : mc19c : mc19d : mc19e : mc19f : mc19g								2.9	5.4	56.9	322.9	7
	0.77	0.016	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.9	A	138.7	-77.3	243.7	7		7	0	n	6.9754	0	Igneous : Intrusive	Volcanic Dike					-77.88	Basalt	McMurdo	165.02	DE-FM : DA-DIR-GEO			mc20	pmagpy-2.60	mc20a : mc20b : mc20c : mc20d : mc20e : mc20f : mc20h												
	0.77	0.016	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc20, Site VGPA comp: (geog. coord)."	3.9	A	138.7	-77.3	243.7	7	7				6.9754	0	Igneous : Intrusive	Volcanic Dike					-77.88	Basalt	McMurdo	165.02	DE-FM : DE-DI	i		mc20	pmagpy-2.60	mc20a : mc20b : mc20c : mc20d : mc20e : mc20f : mc20h								3.7	7.5	55.7	316.2	7
	0.073	0.005	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.9	A	296.8	-83.7	389.6	5		5	0	n	4.9897	0	Igneous : Extrusive	Lava Flow					-77.54995	Phonolite	McMurdo	166.16148	DE-FM : DA-DIR-GEO			mc200	pmagpy-2.60	mc200a1 : mc200a2 : mc200b2 : mc200c2 : mc200d2												
	0.073	0.005	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00001431	0.000001222	8.545	3	-77.54995	Phonolite	McMurdo	166.16148	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI : IE-TT		mc200b : mc200c : mc200i	mc200	pmagpy-2.60	mc200b1 : mc200c1 : mc200i1												
	0.073	0.005	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc200, Site VGPA comp: (geog. coord)."	3.9	A	296.8	-83.7	389.6	5	5				4.9897	0	Igneous : Extrusive	Lava Flow					-77.5499	Phonolite	McMurdo	166.1615	DE-FM : DE-DI	i		mc200	pmagpy-2.60	mc200a1 : mc200a2 : mc200b2 : mc200c2 : mc200d2								7.7	7.5	77	45.2	5
	0.073	0.005	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc200, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00001431	0.000001222	8.545	3	-77.54995	Phonolite	McMurdo	166.16148	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI : IE-TT	i	mc200b : mc200c : mc200i	mc200	pmagpy-2.60	mc200b1 : mc200c1 : mc200i1	1.88E+22	3	1.61E+21	1.88E+22	3	1.61E+21						
	0.089	0.005	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.4	A	256.8	-79.6	385.7	6		6	0	n	5.987	0	Igneous : Extrusive	Lava Flow					-77.56284	Phonolite	McMurdo	166.21958	DE-FM : DA-DIR-GEO			mc201	pmagpy-2.60	mc201a1 : mc201b2 : mc201c1 : mc201d1 : mc201e1 : mc201j1												
	0.089	0.005	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc201, Site VGPA comp: (geog. coord)."	3.4	A	256.8	-79.6	385.7	6	6				5.987	0	Igneous : Extrusive	Lava Flow					-77.5628	Phonolite	McMurdo	166.2196	DE-FM : DE-DI	i		mc201	pmagpy-2.60	mc201a1 : mc201b2 : mc201c1 : mc201d1 : mc201e1 : mc201j1								4.1	6.6	64.1	36.5	6
	0.539	0.006	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.3	A	341	-47.1	3519.1	5		5	0	n	4.9989	0	Igneous : Extrusive	Lava Flow					-77.65674	Phonolite	McMurdo	166.36424	DE-FM : DA-DIR-GEO			mc202	pmagpy-2.60	mc202c1 : mc202d1 : mc202f1 : mc202h1 : mc202j1												
	0.539	0.006	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc202, Site VGPA comp: (geog. coord)."	1.3	A	341	-47.1	3519.1	5	5				4.9989	0	Igneous : Extrusive	Lava Flow					-77.6567	Phonolite	McMurdo	166.3642	DE-FM : DE-DI	i		mc202	pmagpy-2.60	mc202c1 : mc202d1 : mc202f1 : mc202h1 : mc202j1								0.4	2.5	39.9	144.4	5
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.8	A	137	77.1	1785.1	5		5	0	r	4.9978	0	Igneous : Intrusive	Volcanic Dike					-77.5807	Basalt	McMurdo	166.25055	DE-FM : DA-DIR-GEO			mc203	pmagpy-2.60	mc203a1 : mc203c1 : mc203d1 : mc203g1 : mc203h1												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc203, Site VGPA comp: (geog. coord)."	1.8	A	137	77.1	1785.1	5	5				4.9978	0	Igneous : Intrusive	Volcanic Dike					-77.5807	Basalt	McMurdo	166.2506	DE-FM : DE-DI	i		mc203	pmagpy-2.60	mc203a1 : mc203c1 : mc203d1 : mc203g1 : mc203h1								1.7	3.5	-72.4	276	5
	0.04	0.05	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	99.4	-75.8	586.7	5		5	0	n	4.9932	0	Igneous : Extrusive	Lava Flow					-77.6402	Phonolite	McMurdo	166.40836	DE-FM : DA-DIR-GEO			mc204	pmagpy-2.60	mc204a1 : mc204c1 : mc204h1 : mc204k1 : mc204l1												
	0.04	0.05	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc204, Site VGPA comp: (geog. coord)."	3.2	A	99.4	-75.8	586.7	5	5				4.9932	0	Igneous : Extrusive	Lava Flow					-77.6402	Phonolite	McMurdo	166.4084	DE-FM : DE-DI	i		mc204	pmagpy-2.60	mc204a1 : mc204c1 : mc204h1 : mc204k1 : mc204l1								2.8	6.2	58.8	287	5
	0.368	0.01	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.3	A	284.7	-34.6	1716.6	9		7	2	t	8.9959	0	Igneous : Intrusive	Volcanic Dike					-77.65666	Basalt	McMurdo	166.72515	DE-FM : DA-DIR-GEO			mc205	pmagpy-2.60	mc205a1 : mc205a2 : mc205b1 : mc205c1 : mc205d1 : mc205e1 : mc205h1 : mc205h2 : mc205k1												
	0.368	0.01	Ma	@ltauxe	This study	IE-SPEC														Igneous : Intrusive	Volcanic Dike	0.00004716	0.00001222	25.9	4	-77.65666	Basalt	McMurdo	166.72515	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI : IE-TT		mc205b : mc205h : mc205i : mc205k	mc205	pmagpy-2.60	mc205b1 : mc205h1 : mc205i2 : mc205k1												
	0.368	0.01	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc205, Site VGPA comp: (geog. coord)."	1.3	A	284.7	-34.6	1716.6	9	9				8.9959	0	Igneous : Intrusive	Volcanic Dike					-77.6567	Basalt	McMurdo	166.7252	DE-FM : DE-DI	i		mc205	pmagpy-2.60	mc205a1 : mc205a2 : mc205b1 : mc205c1 : mc205d1 : mc205e1 : mc205h1 : mc205h2 : mc205k1								0.3	2.5	21.7	86.9	9
	0.5	0.5	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.3	A	327.6	-32	217.6	10		8	2	t	9.9632	0	Igneous : Intrusive	Volcanic Dike					-77.66665	Basalt	McMurdo	166.78033	DE-FM : DA-DIR-GEO			mc206	pmagpy-2.60	mc206a1 : mc206b1 : mc206c1 : mc206d1 : mc206e1 : mc206f1 : mc206g1 : mc206h1 : mc206i1 : mc206k1												
	0.5	0.5	Ma	@ltauxe	This study	IE-SPEC														Igneous : Intrusive	Volcanic Dike	0.00007767	0	0	1	-77.66665	Basalt	McMurdo	166.78033	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI : IE-TT		mc206b	mc206	pmagpy-2.60	mc206b1												
	0.5	0.5	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc206, Site VGPA comp: (geog. coord)."	3.3	A	327.6	-32	217.6	10	10				9.9632	0	Igneous : Intrusive	Volcanic Dike					-77.6667	Basalt	McMurdo	166.7803	DE-FM : DE-DI	i		mc206	pmagpy-2.60	mc206a1 : mc206b1 : mc206c1 : mc206d1 : mc206e1 : mc206f1 : mc206g1 : mc206h1 : mc206i1 : mc206k1								0.8	6.4	27.6	131.5	10
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.3	A	46.8	-70.6	313.2	5		5	0	n	4.9872	0	Igneous : Extrusive	Lava Flow					-77.67871	Basalt	McMurdo	166.5173	DE-FM : DA-DIR-GEO			mc207	pmagpy-2.60	mc207a1 : mc207d1 : mc207g2 : mc207h2 : mc207k2												
