tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.077e+00	-4.440e+01	151	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.060e+00	-4.411e+01	152	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.043e+00	-4.391e+01	153	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.025e+00	-4.362e+01	154	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.008e+00	-4.345e+01	155	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-9.911e-01	-4.322e+01	156	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-9.740e-01	-4.296e+01	157	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-9.567e-01	-4.273e+01	158	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-9.396e-01	-4.246e+01	159	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-9.224e-01	-4.218e+01	160	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-9.052e-01	-4.194e+01	161	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-8.880e-01	-4.166e+01	162	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-8.709e-01	-4.140e+01	163	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-8.538e-01	-4.116e+01	164	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-8.366e-01	-4.093e+01	165	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-8.195e-01	-4.068e+01	166	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-8.022e-01	-4.038e+01	167	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-7.851e-01	-4.013e+01	168	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-7.679e-01	-3.983e+01	169	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-7.508e-01	-3.954e+01	170	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-7.335e-01	-3.926e+01	171	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-7.164e-01	-3.902e+01	172	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.992e-01	-3.873e+01	173	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.821e-01	-3.842e+01	174	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.648e-01	-3.820e+01	175	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.477e-01	-3.788e+01	176	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.305e-01	-3.757e+01	177	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-6.134e-01	-3.729e+01	178	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-5.961e-01	-3.697e+01	179	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-5.790e-01	-3.668e+01	180	u	273		273
