tab	specimens																	
specimen	sample	experiments	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	int_corr	citations	method_codes	specimen_direction_type
sv11a1	sv11a	sv11a1 : LP-DIR-AF	206.7	45.6	14	0	3.4				0.18	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv11b1	sv11b							Igneous	Lava Flow	Basalt						This study		
sv11b1	sv11b	sv11b1 : LP-DIR-AF	149	42.9	11	0	4.7				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv11b2	sv11b							Igneous	Lava Flow	Basalt						This study		
sv11e1	sv11e							Igneous	Lava Flow	Basalt						This study		
sv11f1	sv11f							Igneous	Lava Flow	Basalt						This study		
sv11h2	sv11h							Igneous	Lava Flow	Basalt						This study		
sv11k1	sv11k	sv11k1 : LP-DIR-AF	193.6	-39	12	0	1.1				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv11k1	sv11k							Igneous	Lava Flow	Basalt						This study		
sv11n1	sv11n							Igneous	Lava Flow	Basalt						This study		
sv11n1	sv11n	sv11n1 : LP-DIR-AF	197.7	-51.2	13	0	1.7				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv12e1	sv12e	sv12e1 : LP-DIR-AF	89.5	-21.1	7	0	2.1				0.07	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv12e1	sv12e							Igneous	Lava Flow	Basalt						This study		
sv12e2	sv12e							Igneous	Lava Flow	Basalt						This study		
