tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	sample_azimuth	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_volume
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-85	XXX-UTESTA-001H_2A-85	XXX-UTESTA-001H_2A-85	FS-C-DRILL-IODP:SO-V	0	2.33	2.35		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-90	XXX-UTESTA-001H_2A-90	XXX-UTESTA-001H_2A-90	FS-C-DRILL-IODP:SO-V	0	2.379	2.4		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-95	XXX-UTESTA-001H_2A-95	XXX-UTESTA-001H_2A-95	FS-C-DRILL-IODP:SO-V	0	2.429	2.45		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-100	XXX-UTESTA-001H_2A-100	XXX-UTESTA-001H_2A-100	FS-C-DRILL-IODP:SO-V	0	2.478	2.5		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-105	XXX-UTESTA-001H_2A-105	XXX-UTESTA-001H_2A-105	FS-C-DRILL-IODP:SO-V	0	2.528	2.55		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-110	XXX-UTESTA-001H_2A-110	XXX-UTESTA-001H_2A-110	FS-C-DRILL-IODP:SO-V	0	2.577	2.6		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-115	XXX-UTESTA-001H_2A-115	XXX-UTESTA-001H_2A-115	FS-C-DRILL-IODP:SO-V	0	2.627	2.65		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-120	XXX-UTESTA-001H_2A-120	XXX-UTESTA-001H_2A-120	FS-C-DRILL-IODP:SO-V	0	2.677	2.7		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-125	XXX-UTESTA-001H_2A-125	XXX-UTESTA-001H_2A-125	FS-C-DRILL-IODP:SO-V	0	2.726	2.75		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-130	XXX-UTESTA-001H_2A-130	XXX-UTESTA-001H_2A-130	FS-C-DRILL-IODP:SO-V	0	2.776	2.8		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-135	XXX-UTESTA-001H_2A-135	XXX-UTESTA-001H_2A-135	FS-C-DRILL-IODP:SO-V	0	2.825	2.85		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-140	XXX-UTESTA-001H_2A-140	XXX-UTESTA-001H_2A-140	FS-C-DRILL-IODP:SO-V	0	2.875	2.9		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-145	XXX-UTESTA-001H_2A-145	XXX-UTESTA-001H_2A-145	FS-C-DRILL-IODP:SO-V	0	2.924	2.95		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-150	XXX-UTESTA-001H_2A-150	XXX-UTESTA-001H_2A-150	FS-C-DRILL-IODP:SO-V	0	2.974	3		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-0	XXX-UTESTA-001H_3A-0	XXX-UTESTA-001H_3A-0	FS-C-DRILL-IODP:SO-V	0	2.974	3		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-5	XXX-UTESTA-001H_3A-5	XXX-UTESTA-001H_3A-5	FS-C-DRILL-IODP:SO-V	0	3.023	3.05		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-10	XXX-UTESTA-001H_3A-10	XXX-UTESTA-001H_3A-10	FS-C-DRILL-IODP:SO-V	0	3.073	3.1		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-15	XXX-UTESTA-001H_3A-15	XXX-UTESTA-001H_3A-15	FS-C-DRILL-IODP:SO-V	0	3.123	3.15		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-20	XXX-UTESTA-001H_3A-20	XXX-UTESTA-001H_3A-20	FS-C-DRILL-IODP:SO-V	0	3.172	3.2		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-25	XXX-UTESTA-001H_3A-25	XXX-UTESTA-001H_3A-25	FS-C-DRILL-IODP:SO-V	0	3.222	3.25		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-30	XXX-UTESTA-001H_3A-30	XXX-UTESTA-001H_3A-30	FS-C-DRILL-IODP:SO-V	0	3.271	3.3		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-35	XXX-UTESTA-001H_3A-35	XXX-UTESTA-001H_3A-35	FS-C-DRILL-IODP:SO-V	0	3.321	3.35		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-40	XXX-UTESTA-001H_3A-40	XXX-UTESTA-001H_3A-40	FS-C-DRILL-IODP:SO-V	0	3.37	3.4		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-45	XXX-UTESTA-001H_3A-45	XXX-UTESTA-001H_3A-45	FS-C-DRILL-IODP:SO-V	0	3.42	3.45		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-50	XXX-UTESTA-001H_3A-50	XXX-UTESTA-001H_3A-50	FS-C-DRILL-IODP:SO-V	0	3.47	3.5		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-55	XXX-UTESTA-001H_3A-55	XXX-UTESTA-001H_3A-55	FS-C-DRILL-IODP:SO-V	0	3.519	3.55		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-60	XXX-UTESTA-001H_3A-60	XXX-UTESTA-001H_3A-60	FS-C-DRILL-IODP:SO-V	0	3.569	3.6		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-65	XXX-UTESTA-001H_3A-65	XXX-UTESTA-001H_3A-65	FS-C-DRILL-IODP:SO-V	0	3.618	3.65		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-70	XXX-UTESTA-001H_3A-70	XXX-UTESTA-001H_3A-70	FS-C-DRILL-IODP:SO-V	0	3.668	3.7		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-75	XXX-UTESTA-001H_3A-75	XXX-UTESTA-001H_3A-75	FS-C-DRILL-IODP:SO-V	0	3.717	3.75		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-80	XXX-UTESTA-001H_3A-80	XXX-UTESTA-001H_3A-80	FS-C-DRILL-IODP:SO-V	0	3.767	3.8		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-85	XXX-UTESTA-001H_3A-85	XXX-UTESTA-001H_3A-85	FS-C-DRILL-IODP:SO-V	0	3.816	3.85		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_3A-90	XXX-UTESTA-001H_3A-90	XXX-UTESTA-001H_3A-90	FS-C-DRILL-IODP:SO-V	0	3.866	3.9		0	
