tab	measurements
experiment	specimen	measurement	treat_step_num	citations	instrument_codes	method_codes	meas_field_ac	meas_freq	meas_temp	timestamp	susc_chi_qdr_volume	susc_chi_volume
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	119.9903	2006-03-20T08:53:33Z	5.46e-07	1.23e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	130.0015	2006-03-20T08:53:33Z	1.71e-06	1.82e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	130.0015	2006-03-20T08:53:33Z	1.54e-06	1.7e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	130.0015	2006-03-20T08:53:33Z	1.36e-06	1.6e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	130.0015	2006-03-20T08:53:33Z	1.2e-06	1.4999999999999999e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	130.0015	2006-03-20T08:53:33Z	1.04e-06	1.42e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	130.0015	2006-03-20T08:53:33Z	8.78e-07	1.3500000000000001e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	130.0015	2006-03-20T08:53:33Z	7.13e-07	1.28e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	139.9833	2006-03-20T08:53:33Z	2.08e-06	2e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	139.9833	2006-03-20T08:53:33Z	1.87e-06	1.86e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	139.9833	2006-03-20T08:53:33Z	1.66e-06	1.73e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	139.9833	2006-03-20T08:53:33Z	1.47e-06	1.62e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	139.9833	2006-03-20T08:53:33Z	1.28e-06	1.52e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	139.9833	2006-03-20T08:53:33Z	1.1e-06	1.4300000000000002e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	139.9833	2006-03-20T08:53:33Z	9e-07	1.3500000000000001e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	149.9893	2006-03-20T08:53:33Z	2.51e-06	2.2100000000000002e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	149.9893	2006-03-20T08:53:33Z	2.27e-06	2.0399999999999998e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	149.9893	2006-03-20T08:53:33Z	2.01e-06	1.88e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	149.9893	2006-03-20T08:53:33Z	1.76e-06	1.74e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	149.9893	2006-03-20T08:53:33Z	1.54e-06	1.62e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	149.9893	2006-03-20T08:53:33Z	1.32e-06	1.51e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	149.9893	2006-03-20T08:53:33Z	1.07e-06	1.42e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	159.9945	2006-03-20T08:53:33Z	2.99e-06	2.45e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	159.9945	2006-03-20T08:53:33Z	2.7e-06	2.24e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	159.9945	2006-03-20T08:53:33Z	2.4e-06	2.05e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	159.9945	2006-03-20T08:53:33Z	2.11e-06	1.88e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	159.9945	2006-03-20T08:53:33Z	1.85e-06	1.74e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	159.9945	2006-03-20T08:53:33Z	1.59e-06	1.6100000000000002e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	159.9945	2006-03-20T08:53:33Z	1.29e-06	1.4999999999999999e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	169.9985	2006-03-20T08:53:33Z	3.53e-06	2.72e-05
