tab 	specimens
sample	specimen
26-2-093	26-2-093
26-2-096	26-2-096
26-2-099	26-2-099
26-2-102	26-2-102
26-2-106	26-2-106
26-2-109	26-2-109
26-2-112	26-2-112
26-2-115	26-2-115
26-2-117	26-2-117
26-2-120	26-2-120
26-2-122	26-2-122
26-2-125	26-2-125
26-2-128	26-2-128
26-2-131	26-2-131
26-2-136	26-2-136
26-2-139	26-2-139
26-2-142	26-2-142
26-2-146	26-2-146
26-2-149	26-2-149
26-3-001	26-3-001
26-3-004	26-3-004
26-3-007	26-3-007
26-3-011	26-3-011
26-3-014	26-3-014
26-3-017	26-3-017
26-3-021	26-3-021
26-3-024	26-3-024
26-3-030	26-3-030
26-3-033	26-3-033
26-3-036	26-3-036
26-3-039	26-3-039
26-3-043	26-3-043
26-3-046	26-3-046
26-3-049	26-3-049
26-3-052	26-3-052
26-3-055	26-3-055
26-3-057	26-3-057
26-3-060	26-3-060
26-3-063	26-3-063
26-3-065	26-3-065
26-3-068	26-3-068
26-3-072	26-3-072
26-3-075	26-3-075
26-3-078	26-3-078
26-3-080	26-3-080
26-3-084	26-3-084
26-3-086	26-3-086
26-3-090	26-3-090
26-3-093	26-3-093
26-3-096	26-3-096
26-3-099	26-3-099
26-3-101	26-3-101
26-3-105	26-3-105
26-3-108	26-3-108
26-3-110	26-3-110
26-3-114	26-3-114
26-3-117	26-3-117
26-3-120	26-3-120
26-3-122	26-3-122
27-1-023	27-1-023
27-1-027	27-1-027
27-1-030	27-1-030
27-1-033	27-1-033
27-1-036	27-1-036
27-1-039	27-1-039
27-1-041	27-1-041
27-1-046	27-1-046
27-1-050	27-1-050
27-1-053	27-1-053
27-1-056	27-1-056
27-1-059	27-1-059
27-1-062	27-1-062
27-1-065	27-1-065
27-1-068	27-1-068
27-1-073	27-1-073
27-1-076	27-1-076
27-1-079	27-1-079
27-1-083	27-1-083
27-1-086	27-1-086
27-1-089	27-1-089
27-1-093	27-1-093
27-1-096	27-1-096
27-1-100	27-1-100
27-1-106	27-1-106
27-1-107	27-1-107
27-1-109	27-1-109
27-1-113	27-1-113
27-1-117	27-1-117
27-1-119	27-1-119
27-1-123	27-1-123
27-1-127	27-1-127
