tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	magic_software_packages	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_dip
This study	Northern Iceland	is021k	is021	FS-FD:SO-POM	pmagpy-2.129	205.0	5.0	59.0	34.0
This study	Northern Iceland	is022a	is022	FS-FD:SO-POM	pmagpy-2.129	238.0	5.0	59.0	71.0
This study	Northern Iceland	is022b	is022	FS-FD:SO-POM	pmagpy-2.129	222.0	5.0	59.0	67.0
This study	Northern Iceland	is022c	is022	FS-FD:SO-POM	pmagpy-2.129	201.0	5.0	59.0	63.0
This study	Northern Iceland	is022d	is022	FS-FD:SO-POM	pmagpy-2.129	165.0	5.0	59.0	89.0
This study	Northern Iceland	is022e	is022	FS-FD:SO-POM	pmagpy-2.129	200.0	5.0	59.0	80.0
This study	Northern Iceland	is022f	is022	FS-FD:SO-POM	pmagpy-2.129	257.0	5.0	59.0	57.0
This study	Northern Iceland	is022g	is022	FS-FD:SO-POM	pmagpy-2.129	256.0	5.0	59.0	101.0
This study	Northern Iceland	is022h	is022	FS-FD:SO-POM	pmagpy-2.129	203.0	5.0	59.0	94.0
This study	Northern Iceland	is022i	is022	FS-FD:SO-POM	pmagpy-2.129	243.0	5.0	59.0	72.0
This study	Northern Iceland	is022j	is022	FS-FD:SO-POM	pmagpy-2.129	258.0	5.0	59.0	64.0
This study	Northern Iceland	is023a	is023	FS-FD:SO-POM	pmagpy-2.129	183.0	5.0	59.0	82.0
This study	Northern Iceland	is023b	is023	FS-FD:SO-POM	pmagpy-2.129	176.0	5.0	59.0	90.0
This study	Northern Iceland	is023c	is023	FS-FD:SO-POM	pmagpy-2.129	215.0	5.0	59.0	79.0
This study	Northern Iceland	is023d	is023	FS-FD:SO-POM	pmagpy-2.129	212.0	5.0	59.0	75.0
This study	Northern Iceland	is023e	is023	FS-FD:SO-POM	pmagpy-2.129	243.0	5.0	59.0	60.0
This study	Northern Iceland	is023g	is023	FS-FD:SO-POM	pmagpy-2.129	240.0	5.0	59.0	87.0
This study	Northern Iceland	is023h	is023	FS-FD:SO-POM	pmagpy-2.129	283.0	5.0	59.0	3.0
This study	Northern Iceland	is023i	is023	FS-FD:SO-POM	pmagpy-2.129	187.0	5.0	59.0	77.0
This study	Northern Iceland	is023j	is023	FS-FD:SO-POM	pmagpy-2.129	221.0	5.0	59.0	93.0
