tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	description
14132	4	2015-02-20T12:21:14.000Z	@ltauxe	3.0	10.1111/j.1365-246X.1997.tb04082.x	Upgraded to MagIC Data Model 3.0 by the MagIC Database Team
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	plate_blocks	lat_s	lat_n	lon_w	lon_e	continent_ocean
DSDP Site 522	Drill Site	This study	African Plate	-27	-27	355	355	Atlantic Ocean
>>>>>>>>>>
tab delimited	sites
site	location	citations	geologic_classes	geologic_types	lithologies	core_depth	age	age_unit
16-3-060	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.09	24.647	Ma
16-3-063	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.13	24.6552	Ma
16-3-066	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.16	24.6614	Ma
16-3-069	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.18	24.6655	Ma
16-3-072	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.22	24.6737	Ma
16-3-075	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.25	24.6799	Ma
16-3-078	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.28	24.686	Ma
16-3-080	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.29	24.6881	Ma
16-3-083	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.33	24.6963	Ma
16-3-086	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.36	24.7025	Ma
16-3-089	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.39	24.7087	Ma
