tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.3	48.1		g	-72.4	2.47e-06	23	1	1.11e-08	8.34e-09	3.11e-09	u	273	0	0	928.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	44.4		g	-71.8	1.65e-06	24	1	1.99e-08	1.21e-08	2.76e-09	u	273	0	0	938.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	48.0		g	-72.1	1.66e-06	25	1	2.21e-08	9.37e-09	3.18e-09	u	273	0	0	943.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	lowensta	LT-NO:DE-VM:LP-DIR-T	pmagpy-3.4.0	1.1	42.9	average of multiple measurements	g	-46.5	4.905e-06	1	2.0	4.31e-08	9.66e-09	1.60e-08	u	273	0	0	273
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.5	40.1		g	-48.1	4.90e-06	2	1	3.82e-08	1.76e-08	1.50e-08	u	273	2.000e-02	0	273
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.8	39.1		g	-48.2	4.94e-06	3	1	5.74e-08	4.42e-08	1.50e-08	u	273	4.000e-02	0	273
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	38.6		g	-47.9	5.01e-06	4	1	4.20e-08	2.69e-08	1.56e-08	u	273	6.000e-02	0	273
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	38.4		g	-47.2	5.04e-06	5	1	3.59e-08	3.28e-08	1.56e-08	u	273	8.000e-02	0	273
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.5	40.8		g	-46.6	5.03e-06	6	1	3.72e-08	1.71e-08	1.64e-08	u	273	1.000e-01	0	273
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.6	36.2		g	-45.8	5.05e-06	7	1	1.62e-07	2.67e-07	2.77e-08	u	273	0	0	373.0
