tab 	specimens
analysts	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	experiments	instrument_codes	location	method_codes	result_quality	sample	site	specimen	volume
	0.3359999955:0.3355000019:0.3285000026:0.0013000000:0.0008000000:-0.0010000000	15	0.0002	SI	0	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
	0.3362:0.3354:0.3285:0.0013:0.0008:-0.0010	15	0.0001	SI	-1	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
	0.3361999989:0.3353999853:0.3285000026:0.0013000000:0.0008000000:-0.0010000000	15	0.0001	SI	0	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
							This study			U1356A			318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	7.000e-06
	0.3342:0.3362:0.3296:0.0003:-0.0024:-0.0002	15	0.0001	SI	-1	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
	0.3341999948:0.3361999989:0.3296000063:0.0003000000:-0.0024000001:-0.0002000000	15	0.0001	SI	0	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
	0.3341:0.3363:0.3296:0.0004:-0.0024:-0.0001	15	0.0001	SI	-1	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
	0.3341000080:0.3362999856:0.3296000063:0.0004000000:-0.0024000001:-0.0001000000	15	0.0001	SI	0	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
	0.3342:0.3362:0.3296:0.0005:-0.0023:-0.0001	15	0.0001	SI	-1	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
	0.3341999948:0.3361999989:0.3296000063:0.0005000000:-0.0023000001:-0.0001000000	15	0.0001	SI	0	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
	0.3341:0.3364:0.3295:0.0004:-0.0025:-0.0002	15	0.0001	SI	-1	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
	0.3341000080:0.3364000022:0.3294999897:0.0004000000:-0.0024999999:-0.0002000000	15	0.0001	SI	0	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
	0.3341:0.3362:0.3297:0.0005:-0.0024:-0.0002	15	0.0001	SI	-1	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
